country,adults (ages 15+) and children (0-14 years) living with hiv,adults (ages 15+) and children (ages 0-14) newly infected with hiv,adults (ages 15+) living with hiv,adults (ages 15+) newly infected with hiv,age dependency ratio (% of working-age population),"age dependency ratio, old","age dependency ratio, young","age population, age 0, female, interpolated","age population, age 0, male, interpolated","age population, age 01, female, interpolated","age population, age 01, male, interpolated","age population, age 02, female, interpolated","age population, age 02, male, interpolated","age population, age 03, female, interpolated","age population, age 03, male, interpolated","age population, age 04, female, interpolated","age population, age 04, male, interpolated","age population, age 05, female, interpolated","age population, age 05, male, interpolated","age population, age 06, female, interpolated","age population, age 06, male, interpolated","age population, age 07, female, interpolated","age population, age 07, male, interpolated","age population, age 08, female, interpolated","age population, age 08, male, interpolated","age population, age 09, female, interpolated","age population, age 09, male, interpolated","age population, age 10, female, interpolated","age population, age 10, male, interpolated","age population, age 11, female, interpolated","age population, age 11, male, interpolated","age population, age 12, female, interpolated","age population, age 12, male, interpolated","age population, age 13, female, interpolated","age population, age 13, male, interpolated","age population, age 14, female, interpolated","age population, age 14, male, interpolated","age population, age 15, female, interpolated","age population, age 15, male, interpolated","age population, age 16, female, interpolated","age population, age 16, male, interpolated","age population, age 17, female, interpolated","age population, age 17, male, interpolated","age population, age 18, female, interpolated","age population, age 18, male, interpolated","age population, age 19, female, interpolated","age population, age 19, male, interpolated","age population, age 20, female, interpolated","age population, age 20, male, interpolated","age population, age 21, female, interpolated","age population, age 21, male, interpolated","age population, age 22, female, interpolated","age population, age 22, male, interpolated","age population, age 23, female, interpolated","age population, age 23, male, interpolated","age population, age 24, female, interpolated","age population, age 24, male, interpolated","age population, age 25, female, interpolated","age population, age 25, male, interpolated",aids estimated deaths (unaids estimates),antiretroviral therapy coverage (% of people living with hiv),antiretroviral therapy coverage for pmtct (% of pregnant women living with hiv),children (0-14) living with hiv,children (ages 0-14) newly infected with hiv,children orphaned by hiv/aids,diabetes prevalence (% of population ages 20 to 79),female population 00-04,female population 05-09,female population 10-14,female population 15-19,female population 20-24,female population 25-29,female population 30-34,female population 35-39,female population 40-44,female population 45-49,female population 50-54,female population 55-59,female population 60-64,female population 65-69,female population 70-74,female population 75-79,female population 80+,"gni per capita, atlas method (current us$)","immunization, bcg (% of one-year-old children)","immunization, dpt (% of children ages 12-23 months)","immunization, hepb3 (% of one-year-old children)","immunization, hib3 (% of children ages 12-23 months)","immunization, measles (% of children ages 12-23 months)","immunization, pol3 (% of one-year-old children)",improved sanitation facilities (% of population with access),"improved sanitation facilities, rural (% of rural population with access)","improved sanitation facilities, urban (% of urban population with access)",improved water source (% of population with access),"improved water source, rural (% of rural population with access)","improved water source, urban (% of urban population with access)",incidence of hiv (% of uninfected population ages 15-49),lifetime risk of maternal death (%),lifetime risk of maternal death (1 in: rate varies by country),"literacy rate, adult female (% of females ages 15 and above)","literacy rate, adult male (% of males ages 15 and above)","literacy rate, adult total (% of people ages 15 and above)","literacy rate, youth male (% of males ages 15-24)","literacy rate, youth total (% of people ages 15-24)",male population 00-04,male population 05-09,male population 10-14,male population 15-19,male population 20-24,male population 25-29,male population 30-34,male population 35-39,male population 40-44,male population 45-49,male population 50-54,male population 55-59,male population 60-64,male population 65-69,male population 70-74,male population 75-79,male population 80+,maternal leave benefits (% of wages paid in covered period),"maternal mortality ratio (modeled estimate, per 100,000 live births)","mortality rate, infant (per 1,000 live births)","mortality rate, infant, female (per 1,000 live births)","mortality rate, infant, male (per 1,000 live births)","mortality rate, neonatal (per 1,000 live births)","mortality rate, under-5 (per 1,000)","mortality rate, under-5, female (per 1,000)","mortality rate, under-5, male (per 1,000)",newborns protected against tetanus (%),number of infant deaths,number of maternal deaths,number of neonatal deaths,number of people who are undernourished,number of under-five deaths,number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, rural (% of rural population)","people practicing open defecation, urban (% of urban population)","population ages 00-04, female (% of female population)","population ages 00-04, male (% of male population)",population ages 00-14 (% of total),"population ages 00-14, female (% of total)","population ages 00-14, male (% of total)","population ages 00-14, total","population ages 0-14, female","population ages 0-14, male","population ages 05-09, female (% of female population)","population ages 05-09, male (% of male population)","population ages 10-14, female (% of female population)","population ages 15-19, female (% of female population)","population ages 15-19, male (% of male population)",population ages 15-64 (% of total),"population ages 15-64, female","population ages 15-64, female (% of total)","population ages 15-64, male","population ages 15-64, male (% of total)","population ages 15-64, total","population ages 20-24, female (% of female population)","population ages 20-24, male (% of male population)","population ages 25-29, female (% of female population)","population ages 25-29, male (% of male population)","population ages 30-34, female (% of female population)","population ages 30-34, male (% of male population)","population ages 35-39, female (% of female population)","population ages 35-39, male (% of male population)","population ages 40-44, female (% of female population)","population ages 40-44, male (% of male population)","population ages 45-49, female (% of female population)","population ages 45-49, male (% of male population)","population ages 50-54, female (% of female population)","population ages 50-54, male (% of male population)","population ages 55-59, female (% of female population)","population ages 55-59, male (% of male population)","population ages 60-64, female (% of female population)","population ages 60-64, male (% of male population)",population ages 65 and above (% of total),"population ages 65 and above, female","population ages 65 and above, female (% of total)","population ages 65 and above, male","population ages 65 and above, male (% of total)","population ages 65 and above, total","population ages 65-69, female (% of female population)","population ages 65-69, male (% of male population)","population ages 70-74, female (% of female population)","population ages 70-74, male (% of male population)","population ages 75-79, female (% of female population)","population ages 75-79, male (% of male population)","population ages 80 and older, female (% of female population)","population ages 80 and older, male (% of male population)","population ages10-14, male (% of male population)",population growth (annual %),"population, female","population, female (% of total)","population, male","population, male (% of total)","population, total","prevalence of hiv, female (% ages 15-24)","prevalence of hiv, male (% ages 15-24)","prevalence of hiv, total (% of population ages 15-49)",prevalence of undernourishment (% of population),ratio of young literate females to males (% ages 15-24),rural population,rural population (% of total population),rural population growth (annual %),urban population,urban population (% of total),urban population growth (annual %),women's share of population ages 15+ living with hiv (%),grand total
Afghanistan,6900,1000,6700,1000,86.95446405,4.616073461,82.33839058,470554,498844,479012,505348,484823,509720,488163,512071,489202,512513,488114,511155,485070,508109,480247,503483,473815,497391,465947,489942,456660,481223,445971,471320,434835,460464,423740,448810,412387,436399,400282,423357,387871,409952,373963,395511,358029,379811,340903,363405,323974,347056,306997,330586,291301,315404,277702,302279,265698,290665,253775,279146,500,5,4,500,100,4000,8.8,2411754,2393193,2173593,1861048,1465672,1168003,984233,788488,619577,496113,395540,316760,248451,201471,118175,67306,43481,630,86,78,78,78,68,77,31.9,27,45.1,55.3,47,78.2,0.01,1.92613064,52,23.87384987,51.47267914,38.16804123,69.42051697,58.1548996,2538496,2510080,2298216,1972036,1585990,1292203,1077744,884475,692656,544017,427606,329412,248096,174910,107690,56811,33266,100,396,66.3,62.1,70.3,35.5,91.1,87.4,94.6,70,67399,4300,36242,8600000,94261,90,12.7,17.4,0,15.30994566,15.13378321,44.04194947,44.30015176,43.79946135,14325332,6978540,7346792,15.19211942,14.96437519,13.79808667,11.814034,11.75671158,53.48896081,8343885,52.96743613,9054235,53.97874554,17398120,9.304165631,9.455216331,7.414546618,7.703742715,6.247964655,6.425199825,5.005364741,5.272985621,3.933108519,4.1294159,3.149352327,3.243272923,2.510909449,2.549264015,2.010809721,1.963859622,1.577180471,1.479077012,2.469089724,430433,2.732412112,372677,2.221793111,803110,1.278948874,1.042763125,0.750181332,0.642016814,0.427262151,0.338690846,0.276019755,0.198322326,13.70130294,2.802986283,15752858,48.43075023,16773704,51.56924977,32526562,0.1,0.1,0.1,26.8,0.664160013,23840994,73.297,2.230252873,8685568,26.703,4.392151969,28.57569424,225729098.4
Albania,,,,,44.80697279,17.95076647,26.85620632,21438,23178,19177,20669,17406,18721,16092,17290,15195,16332,14682,15802,14515,15655,14660,15847,15078,16334,15736,17070,16571,18007,17526,19094,18680,20311,20047,21623,21517,22971,22972,24321,24435,25668,25578,26771,26231,27508,26502,27942,26727,28288,26891,28527,26703,28458,26067,28009,25121,27262,24118,26426,,,,,,,10.3,89076,74477,94096,125392,131168,110111,89895,84375,91775,97198,104896,96326,78349,59059,48652,39844,41381,4290,99,98,98,98,98,98,93.2,90.2,95.5,95.1,95.2,94.9,,0.053360538,1900,96.76969147,98.36763763,97.55390167,98.97821808,99.02919769,95941,80499,101741,131867,140180,120122,84095,69293,80500,88720,99434,94635,76854,58728,47541,35462,27482,65,29,12.5,11.2,13.7,6.2,14,12.5,15.3,92,564,11,279,,618,365,0,0,0,6.117577108,6.694645119,18.54620412,17.69485957,19.41119973,535831,257650,278181,5.114946032,5.61712671,6.462336431,8.611653591,9.201570134,69.05746201,1009485,69.32929824,985700,68.78126696,1995185,9.008335737,9.781601036,7.562168675,8.381982433,6.173815416,5.868097604,5.794669211,4.835191604,6.302937475,5.617196309,6.675370704,6.190824181,7.204051898,6.938447405,6.615433408,6.603541153,5.380862124,5.362815106,12.39633387,188938,12.97584219,169213,11.8075333,358151,4.056076648,4.098008101,3.341350089,3.317395359,2.736428655,2.474492282,2.841986795,1.917637561,7.099427903,-0.155183807,1456073,50.39767955,1433094,49.60232045,2889167,,,,,1.001060009,1230583,42.593,-2.47127694,1658584,57.407,1.598580321,,18463490.14
Algeria,8800,500,8600,500,52.61757885,9.062489936,43.55508891,459353,476141,460749,476982,456245,471814,446733,461559,433104,447133,416251,429457,397063,409447,376432,388026,355250,366107,334407,344613,313523,323087,292218,301073,277741,286363,273526,282621,276650,286645,280044,290869,284267,295969,291867,304067,303124,315183,316664,328144,330856,341813,346053,356487,358211,367934,365154,373944,368371,376091,371519,378140,200,90,34,500,100,1000,7.5,2256184,1879403,1433658,1475966,1768645,1867299,1785276,1522019,1237818,1053861,893458,712528,595074,399627,320110,254082,253907,4870,99,95,95,95,95,95,87.6,82.2,89.8,83.6,81.8,84.3,0.01,0.41934133,240,73.05513,86.13082123,79.60839844,97.20031738,96.75260162,2333629,1937650,1479789,1534232,1816269,1891312,1797221,1524171,1227193,1042856,889760,733415,622420,399302,288881,216160,223344,100,140,21.9,20.5,23.2,15.5,25.5,24,26.8,92,20899,1300,14773,,24269,98,0.8,2.3,0.2,11.44753022,11.69293168,28.53871044,28.2574916,28.81642506,11320313,5569245,5751068,9.535801438,9.708830779,7.274159942,7.48882422,7.687455869,65.52325149,12911944,65.51321572,13078849,65.5331622,25990793,8.9738324,9.100636529,9.474387606,9.4766486,9.058215533,9.005194211,7.722490051,7.637044006,6.280497937,6.148999649,5.347128444,5.225356711,4.53326832,4.4582506,3.615257359,3.674864979,3.019313849,3.118711044,5.938038072,1227726,6.229292683,1127687,5.650412745,2355413,2.027645865,2.000751192,1.624188851,1.447473354,1.289172945,1.083095947,1.288285022,1.119092252,7.414662602,1.86309983,19708915,49.6865253,19957604,50.3134747,39666519,0.1,0.1,0.1,5,0.990639985,11611580,29.273,-0.159153932,28054939,70.727,2.712199755,45.72594752,256753849.3
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,97,94,97,96,97,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,1.9,2.3,1.4,2.8,2.6,3.1,,2,,1,,2,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.229397128,,,,,70473,,,,,,10490,14.885,0.315081179,59983,85.115,-3.836561831,,142149.9491
Angola,320000,26000,290000,22000,99.85575099,4.623603946,95.23214705,502641,510719,485224,491924,468369,473922,452055,456666,436261,440111,420964,424213,406144,408923,391779,394199,377848,379995,364328,366264,351235,353019,338583,340268,326170,327687,313904,315116,301870,302680,290244,290683,278984,279094,268166,267800,257841,256792,247967,246113,238413,235800,229164,225803,220382,216419,212122,207781,204288,199746,196737,192007,12000,29,40,25000,4300,130000,4.1,2344550,1961063,1631762,1343202,1104369,912216,745189,604170,477417,383280,315653,258625,203831,132829,92902,56061,38663,4180,79,64,64,64,55,70,51.6,22.5,88.6,49,28.2,75.4,0.19,3.084885865,32,60.74480057,81.96901703,71.16416168,78.61457062,72.92678833,2373342,1973594,1638770,1340482,1085549,888816,729869,593053,465763,367527,293244,231317,176445,112972,75885,43335,26229,100,477,96,87.9,103.7,48.7,156.9,148.9,164.6,78,104291,5400,53164,3200000,169310,90,30.3,53.8,0.5,18.59900481,19.11489449,47.65044117,47.10040995,48.20887113,11923081,5937375,5985706,15.5568532,15.89532443,12.94455195,10.65544367,10.79624091,50.03608828,6347952,50.35746295,6172065,49.70980636,12520017,8.760813094,8.74301074,7.23648878,7.158523322,5.911485698,5.878364317,4.792800637,4.776448367,3.787285866,3.751254813,3.040509506,2.960062151,2.504033467,2.361786931,2.051637891,1.863026925,1.616964342,1.421087883,2.313470552,320455,2.542127097,258421,2.081322518,578876,1.053714875,0.909876394,0.736979269,0.611177727,0.444724492,0.349020054,0.306708461,0.211248344,13.19865221,3.226505657,12605782,50.37884701,12416192,49.62115299,25021974,0.9,0.5,2.2,14.2,0.855939984,13999794,55.95,1.849081878,11022180,44.05,5.003843209,59.7091546,171686725.6
Antigua and Barbuda,,,,,45.65038071,10.43464467,35.21573604,734,744,727,736,722,730,719,725,719,724,721,724,723,726,728,729,734,735,740,740,747,746,756,752,763,761,768,771,773,783,776,793,777,804,782,807,791,803,802,791,811,778,819,767,820,750,805,729,781,705,758,681,,,,,,,13.6,3621,3646,3807,3928,4036,3599,3320,2791,3773,4400,3168,2372,1678,1013,1055,775,947,13390,,99,99,99,98,86,,,,97.9,97.9,97.9,,,,,,,,,3659,3654,3813,3998,3729,3216,3020,2512,3150,3783,2752,2199,1616,938,763,560,527,78,,5.8,5.2,6.3,4.9,8.1,7.3,8.8,,9,,7,,12,91,,,,7.554924993,8.336940919,24.1782657,23.10500949,25.35031557,22200,11074,11126,7.607085481,8.325548543,7.942999019,8.195455778,9.109344027,68.6575617,33065,68.98746062,29975,68.29729545,63040,8.420789084,8.496434186,7.509023764,7.327576386,6.926912725,6.880995238,5.823196812,5.723529814,7.872060757,7.17719702,9.18024578,8.619471849,6.609776962,6.270363872,4.948987043,5.010367062,3.501011913,3.682015995,7.164172602,3790,7.907529888,2788,6.352388981,6578,2.113542949,2.137209779,2.201172568,1.738476611,1.616975109,1.275946137,1.975839262,1.200756454,8.687826107,1.004835565,47929,52.20000436,43889,47.79999564,91818,,,,,,69990,76.227,1.553655776,21828,23.773,-0.734877899,,605452.8244
Arab World,,,,,61.75419398,6.937488172,53.21810747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.86857826,,,,,11.89115352,23963812,21021290,18673273,17431435,16966105,16475419,15036056,12923990,10567018,8848147,7408863,5967611,4705324,3382664,2440651,1723031,1586474,7060.619946,87.82051223,83.48478475,83.24863457,83.48478475,82.66974405,83.99668979,90.33030736,86.27835257,92.65391726,92.0840458,88.17486455,94.36966129,0.013475958,0.561291092,180,,,,,,25105416,21979697,19521605,18261135,18059707,18446837,17093977,14684509,12320686,10141847,8225101,6398605,4813510,3200196,2108684,1392040,1147557,,156,27.98348511,25.51044034,30.36031747,17.52557376,36.76414509,34.13793607,39.34515959,81.76758996,,16000,,15100000,,,1.725412849,4.238565393,0.244282286,,,33.22900277,33.66010075,32.82718264,130265093,63658375,66606718,,,,,,62.43927945,116329970,61.51081488,128445914,63.30468773,244775884,,,,,,,,,,,,,,,,,,,4.331717778,9132821,4.829084377,7848478,3.868129622,16981298,,,,,,,,,,2.02999099,189121166,48.24245405,202901110,51.75754595,392022276,0.126628286,0.10273711,0.155495106,8.990336481,,165348390,42.17831503,1.359867895,226673886,57.82168497,2.524431906,44.43622335,2367259110
Argentina,110000,5100,110000,5000,56.5453597,17.10501261,39.44034709,370735,384142,367441,380644,364759,377791,362602,375491,360884,373651,359517,372182,358416,370993,357491,369989,356658,369085,355830,368183,355206,367490,354988,367203,353653,365770,350540,362517,346424,358228,342504,354115,338262,349638,335780,346957,336133,347173,338213,349139,339926,350701,341783,352413,342425,352720,340991,350665,338184,347058,335749,343803,2300,64,93,1000,100,18000,6,1826421,1787912,1760811,1690892,1703309,1651499,1584083,1615070,1361211,1198194,1126892,1059146,968185,824791,668658,527347,817632,12460,99,94,94,94,89,93,96.4,98.3,96.2,99.1,100,99,0.02,0.126378674,790,98.13478088,98.04197693,98.08997345,99.13131714,99.30436707,1891719,1850432,1821208,1747022,1753557,1684921,1605006,1606998,1332012,1161548,1065621,971897,847234,688372,504461,346331,366363,100,52,11.1,10,12.2,6.3,12.5,11.3,13.7,,8464,390,4797,,9513,90,1.3,0,1.4,8.237491585,8.90442709,25.19419749,24.24287909,26.18704183,10938503,5375144,5563359,8.063808976,8.710086872,7.941578527,7.626231094,8.223330221,63.87924892,13958481,62.95529331,13775816,64.84353605,27734297,7.682234027,8.254090832,7.448561484,7.931017343,7.144503037,7.55485297,7.284260055,7.564229425,6.139309698,6.26985495,5.404073317,5.467471372,5.082488302,5.015937621,4.776941495,4.574773513,4.366690807,3.987977803,10.92655359,2838428,12.8018276,1905527,8.969422118,4743955,3.719957732,3.240205487,3.015769446,2.374526129,2.378431082,1.630199379,3.687669338,1.724491123,8.572527871,1.010993037,22172053,51.06796443,21244702,48.93203557,43416755,0.1,0.2,0.4,5,1.003550053,3581448,8.249,-0.755352893,39835307,91.751,1.171338102,32.3773467,279304262.2
Armenia,3600,500,3600,500,41.26264721,15.29307073,25.96957648,19302,20977,20097,21405,20486,21552,20524,21461,20271,21169,19786,20719,19128,20152,18354,19505,17525,18822,16698,18140,15882,17467,15083,16807,14617,16376,14647,16283,15074,16464,15536,16675,15976,16883,17030,17501,18937,18685,21360,20217,23716,21715,26126,23252,28049,24510,29158,25295,29673,25727,30183,26139,200,26,,,,,6.4,100680,91491,75303,88839,136722,151192,132787,108528,92515,93998,129039,121985,95108,54285,30785,57198,57746,3880,99,94,94,94,97,96,89.5,78.2,96.2,100,100,100,0.03,0.042664932,2300,99.73046875,99.81450653,99.76841736,99.81629181,99.84539795,106564,97338,83397,89961,120499,131715,120305,93540,77935,76677,105811,97807,71279,41542,20388,35465,29288,100,25,12.6,11.1,13.9,7.4,14.1,12.5,15.6,,513,10,301,200000,577,140,0,0,0,6.221724001,7.614373878,18.38389482,16.5290962,20.52852746,554773,267474,287299,5.653871182,6.955143618,4.653501017,5.489985484,6.428030934,70.79012179,1150713,71.11063459,985529,70.41952511,2136242,8.449012206,8.610078806,9.343215089,9.411501589,8.205840931,8.596216821,6.706707016,6.683763114,5.71715133,5.568730792,5.808796311,5.478842253,7.974225699,7.56056937,7.538309518,6.988655323,5.877391004,5.093136103,10.82598339,200014,12.36026921,126683,9.05194743,326697,3.354651245,2.968322507,1.902421269,1.456794552,3.534665965,2.53409941,3.568530733,2.092730961,5.959009968,0.383740747,1618201,53.62344054,1399511,46.37655946,3017712,0.1,0.1,0.2,5.8,1.000560045,1126421,37.327,0.756748326,1891291,62.673,0.162243032,19.66073415,19372201.24
Aruba,,,,,43.95238953,17.55601436,26.39637517,424,446,476,497,519,542,557,580,589,612,616,640,637,661,655,680,670,695,681,706,689,715,694,720,700,727,713,735,728,746,738,752,746,755,751,759,752,768,751,777,748,784,750,794,733,782,689,739,631,677,575,618,,,,,,,11.7,2565,3259,3524,3738,3551,2587,3048,3655,4033,4440,4992,4327,3541,2647,1843,1410,1354,,,,,,,,97.7,97.7,97.7,98.1,98.1,98.1,,,,97.51396179,97.5358429,97.52420044,99.45435333,99.41220093,2677,3382,3643,3811,3776,2697,2661,3004,3490,3807,4317,3727,2967,2244,1470,952,750,,,,,,,,,,,,,,,,,1.5,1.5,1.5,4.70521334,5.421772152,18.33687878,17.14788862,19.64962025,19050,9348,9702,5.978280809,6.849620253,6.464394467,6.856954177,7.718481013,69.46741233,37912,69.54543787,34257,69.38126582,72169,6.513923029,7.647594937,4.745569945,5.462278481,5.591224273,5.389367089,6.70469971,6.084050633,7.398099571,7.06835443,8.144696775,7.710379747,9.157280699,8.743291139,7.937410573,7.54835443,6.495579117,6.009113924,12.19570888,7254,13.30667352,5416,10.96911392,12670,4.855633415,4.544810127,3.380782918,2.97721519,2.586491543,1.928101266,2.483765638,1.518987342,7.378227848,0.432161961,54514,52.47331286,49375,47.52668714,103889,,,,,0.999130011,60746,58.472,0.863029247,43143,41.528,-0.171375679,,660338.0683
