continent,country,covid_confirmed_cases,covid_deaths,covid_fatality_rate,age dependency ratio (% of working-age population),"age dependency ratio, old","age dependency ratio, young","age population, age 0, female, interpolated",diabetes prevalence (% of population ages 20 to 79),"gni per capita, atlas method (current us$)","immunization, dpt (% of children ages 12-23 months)","immunization, hepb3 (% of one-year-old children)","immunization, hib3 (% of children ages 12-23 months)","immunization, measles (% of children ages 12-23 months)","immunization, pol3 (% of one-year-old children)",Immunization_average,improved sanitation facilities (% of population with access),"improved sanitation facilities, rural (% of rural population with access)","improved sanitation facilities, urban (% of urban population with access)",improved water source (% of population with access),"improved water source, rural (% of rural population with access)","improved water source, urban (% of urban population with access)",lifetime risk of maternal death (%),lifetime risk of maternal death (1 in: rate varies by country),maternal leave benefits (% of wages paid in covered period),"maternal mortality ratio (modeled estimate, per 100,000 live births)",number of under-five deaths,number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, rural (% of rural population)","people practicing open defecation, urban (% of urban population)","population ages 00-04, female (% of female population)","population ages 00-04, male (% of male population)",population ages 00-14 (% of total),"population ages 00-14, female (% of total)","population ages 00-14, male (% of total)","population ages 00-14, total","population ages 0-14, female","population ages 0-14, male","population ages 05-09, female (% of female population)","population ages 05-09, male (% of male population)","population ages 10-14, female (% of female population)","population ages 15-19, female (% of female population)","population ages 15-19, male (% of male population)",population ages 15-64 (% of total),"population ages 15-64, female","population ages 15-64, female (% of total)","population ages 15-64, male","population ages 15-64, male (% of total)","population ages 15-64, total","population ages 20-24, female (% of female population)","population ages 20-24, male (% of male population)","population ages 25-29, female (% of female population)","population ages 25-29, male (% of male population)","population ages 30-34, female (% of female population)","population ages 30-34, male (% of male population)","population ages 35-39, female (% of female population)","population ages 35-39, male (% of male population)","population ages 40-44, female (% of female population)","population ages 40-44, male (% of male population)","population ages 45-49, female (% of female population)","population ages 45-49, male (% of male population)","population ages 50-54, female (% of female population)","population ages 50-54, male (% of male population)","population ages 55-59, female (% of female population)","population ages 55-59, male (% of male population)","population ages 60-64, female (% of female population)","population ages 60-64, male (% of male population)",population ages 65 and above (% of total),"population ages 65 and above, female","population ages 65 and above, female (% of total)","population ages 65 and above, male","population ages 65 and above, male (% of total)","population ages 65 and above, total","population ages 65-69, female (% of female population)","population ages 65-69, male (% of male population)","population ages 70-74, female (% of female population)","population ages 70-74, male (% of male population)","population ages 75-79, female (% of female population)","population ages 75-79, male (% of male population)","population ages 80 and older, female (% of female population)","population ages 80 and older, male (% of male population)","population ages10-14, male (% of male population)",population growth (annual %),"population, total",rural population (% of total population),rural population growth (annual %),urban population (% of total),urban population growth (annual %),fat_animal products,fat_animal fats,fat_cereals - excluding beer,fat_eggs,"fat_fish, seafood",fat_fruits - excluding wine,fat_meat,fat_miscellaneous,fat_milk - excluding butter,fat_offals,fat_oilcrops,fat_pulses,fat_spices,fat_starchy roots,fat_stimulants,fat_treenuts,fat_vegetal products,fat_vegetable oils,fat_vegetables,obesity,undernourished,population,kcal_alcoholic beverages,kcal_animal products,kcal_animal fats,kcal_cereals - excluding beer,kcal_eggs,"kcal_fish, seafood",kcal_fruits - excluding wine,kcal_meat,kcal_milk - excluding butter,kcal_miscellaneous,kcal_offals,kcal_oilcrops,kcal_pulses,kcal_spices,kcal_starchy roots,kcal_stimulants,kcal_sugar & sweeteners,kcal_treenuts,kcal_vegetal products,kcal_vegetable oils,kcal_vegetables,protein_alcoholic beverages,protein_animal products,protein_animal fats,protein_cereals - excluding beer,protein_eggs,"protein_fish, seafood",protein_fruits - excluding wine,protein_meat,protein_milk - excluding butter,protein_offals,protein_oilcrops,protein_pulses,protein_spices,protein_starchy roots,protein_stimulants,protein_sugar & sweeteners,protein_treenuts,protein_vegetal products,protein_vegetable oils,protein_vegetables,protein_miscellaneous,gni_category
asia,afghanistan,158084,7356,0.000226154,86.95446405,4.616073461,82.33839058,470554,8.8,630,78,78,78,68,77,75.8,31.9,27,45.1,55.3,47,78.2,1.92613064,52,100,396,94261,90,12.7,17.4,0,15.30994566,15.13378321,44.04194947,44.30015176,43.79946135,14325332,6978540,7346792,15.19211942,14.96437519,13.79808667,11.814034,11.75671158,53.48896081,8343885,52.96743613,9054235,53.97874554,17398120,9.304165631,9.455216331,7.414546618,7.703742715,6.247964655,6.425199825,5.005364741,5.272985621,3.933108519,4.1294159,3.149352327,3.243272923,2.510909449,2.549264015,2.010809721,1.963859622,1.577180471,1.479077012,2.469089724,430433,2.732412112,372677,2.221793111,803110,1.278948874,1.042763125,0.750181332,0.642016814,0.427262151,0.338690846,0.276019755,0.198322326,13.70130294,2.802986283,32526562,73.297,2.230252873,26.703,4.392151969,21.6397,6.2224,8.0353,0.6859,0.0327,0.4246,6.1244,0.0163,8.2803,0.3103,1.0452,0.196,0.2776,0.049,0.098,0.7513,28.3684,17.0831,0.3593,4.5,29.8,38928000,0,4.7774,0.8504,37.1186,0.1501,0,1.4757,1.2006,2.4512,0.025,0.1251,0.1751,0.5003,0.1001,0.3252,0.075,2.2261,0.1251,45.2476,2.3012,0.7504,0,9.7523,0.0277,35.9771,0.4067,0.0647,0.5824,3.1337,5.5278,0.5916,0.2034,1.2479,0.1664,0.1941,0.5546,0,0.1387,40.2477,0,1.137,0.0462,low_gni
europe,albania,210224,3217,0.00111347,44.80697279,17.95076647,26.85620632,21438,10.3,4290,98,98,98,98,98,98,93.2,90.2,95.5,95.1,95.2,94.9,0.053360538,1900,65,29,618,365,0,0,0,6.117577108,6.694645119,18.54620412,17.69485957,19.41119973,535831,257650,278181,5.114946032,5.61712671,6.462336431,8.611653591,9.201570134,69.05746201,1009485,69.32929824,985700,68.78126696,1995185,9.008335737,9.781601036,7.562168675,8.381982433,6.173815416,5.868097604,5.794669211,4.835191604,6.302937475,5.617196309,6.675370704,6.190824181,7.204051898,6.938447405,6.615433408,6.603541153,5.380862124,5.362815106,12.39633387,188938,12.97584219,169213,11.8075333,358151,4.056076648,4.098008101,3.341350089,3.317395359,2.736428655,2.474492282,2.841986795,1.917637561,7.099427903,-0.155183807,2889167,42.593,-2.47127694,57.407,1.598580321,32.0002,3.4172,2.6734,1.6448,0.1445,0.6418,8.7428,0.017,17.7576,0.2933,3.1622,0.1148,0,0.051,0.527,0.9181,17.9998,9.2443,0.6503,22.3,6.2,2838000,0.912,16.093,1.0591,16.2107,0.8091,0.1471,3.8982,3.8688,9.9441,0.0588,0.2648,1.0886,0.8091,0,1.2651,0.2501,3.4422,0.3972,33.907,2.8244,2.7508,0.184,27.7469,0.0711,14.2331,1.8069,0.6274,1.2757,7.6582,16.475,1.1084,0.3722,1.4555,0,0.8867,0.2635,0.0042,0.2677,22.2552,0.0084,3.2456,0.0544,mid_gni
africa,algeria,218432,6276,0.000158219,52.61757885,9.062489936,43.55508891,459353,7.5,4870,95,95,95,95,95,95,87.6,82.2,89.8,83.6,81.8,84.3,0.41934133,240,100,140,24269,98,0.8,2.3,0.2,11.44753022,11.69293168,28.53871044,28.2574916,28.81642506,11320313,5569245,5751068,9.535801438,9.708830779,7.274159942,7.48882422,7.687455869,65.52325149,12911944,65.51321572,13078849,65.5331622,25990793,8.9738324,9.100636529,9.474387606,9.4766486,9.058215533,9.005194211,7.722490051,7.637044006,6.280497937,6.148999649,5.347128444,5.225356711,4.53326832,4.4582506,3.615257359,3.674864979,3.019313849,3.118711044,5.938038072,1227726,6.229292683,1127687,5.650412745,2355413,2.027645865,2.000751192,1.624188851,1.447473354,1.289172945,1.083095947,1.288285022,1.119092252,7.414662602,1.86309983,39666519,29.273,-0.159153932,70.727,2.712199755,14.4175,0.8972,4.2035,1.2171,0.2008,0.5772,3.8961,0.0439,8.0934,0.1067,1.1983,0.2698,0.1568,0.1129,0.2886,0.8595,35.5857,27.3606,0.5145,26.6,3.9,44357000,0.0896,6.0326,0.1941,25.0112,0.4181,0.1195,3.1805,1.2543,3.9869,0.1045,0.0597,0.2688,1.09,0.1195,1.9262,0.1493,3.9869,0.224,43.9749,5.7638,2.0457,0.0323,13.836,0.0054,26.5633,1.2916,0.635,1.1624,3.5088,8.0616,0.3283,0.183,2.5509,0.1776,1.4638,0.4628,0,0.2745,36.1694,0.0269,3.1267,0.1399,mid_gni
africa,angola,81593,1770,7.07E-05,99.85575099,4.623603946,95.23214705,502641,4.1,4180,64,64,64,55,70,63.4,51.6,22.5,88.6,49,28.2,75.4,3.084885865,32,100,477,169310,90,30.3,53.8,0.5,18.59900481,19.11489449,47.65044117,47.10040995,48.20887113,11923081,5937375,5985706,15.5568532,15.89532443,12.94455195,10.65544367,10.79624091,50.03608828,6347952,50.35746295,6172065,49.70980636,12520017,8.760813094,8.74301074,7.23648878,7.158523322,5.911485698,5.878364317,4.792800637,4.776448367,3.787285866,3.751254813,3.040509506,2.960062151,2.504033467,2.361786931,2.051637891,1.863026925,1.616964342,1.421087883,2.313470552,320455,2.542127097,258421,2.081322518,578876,1.053714875,0.909876394,0.736979269,0.611177727,0.444724492,0.349020054,0.306708461,0.211248344,13.19865221,3.226505657,25021974,55.95,1.849081878,44.05,5.003843209,15.3041,1.313,6.5545,0.1539,1.4155,0.3488,11.0268,0.0308,1.2309,0.1539,3.9902,0.3282,0.0103,0.7078,0.1128,0.0308,34.701,22.4638,0.1231,6.8,25,32522000,1.9388,4.6927,0.2644,18.3521,0.0441,0.8372,2.3133,2.9302,0.5067,0.0661,0.1102,1.0795,1.4981,0,12.6239,0.0441,2.7539,0,45.3184,4.2741,0.3525,0.6285,15.2311,0.0277,20.3882,0.1756,5.4436,1.2754,7.6248,1.146,0.8133,2.1534,4.085,0,5.1941,0.1017,0.0092,0.0092,34.7782,0.0092,0.8133,0.0924,mid_gni
north america,antigua and barbuda,4283,119,0.001296042,45.65038071,10.43464467,35.21573604,734,13.6,13390,99,99,99,98,86,96.2,73.56153846,67.43333333,79.48525641,97.9,97.9,97.9,0.709157384,3161.220126,78,159.509434,12,91,9.441721854,14.75231788,2.777124183,7.554924993,8.336940919,24.1782657,23.10500949,25.35031557,22200,11074,11126,7.607085481,8.325548543,7.942999019,8.195455778,9.109344027,68.6575617,33065,68.98746062,29975,68.29729545,63040,8.420789084,8.496434186,7.509023764,7.327576386,6.926912725,6.880995238,5.823196812,5.723529814,7.872060757,7.17719702,9.18024578,8.619471849,6.609776962,6.270363872,4.948987043,5.010367062,3.501011913,3.682015995,7.164172602,3790,7.907529888,2788,6.352388981,6578,2.113542949,2.137209779,2.201172568,1.738476611,1.616975109,1.275946137,1.975839262,1.200756454,8.687826107,1.004835565,91818,76.227,1.553655776,23.773,-0.734877899,27.7033,4.6686,3.2153,0.3872,1.5263,1.2177,14.3202,0.0898,6.6607,0.1347,1.3579,0.0673,0.3591,0.0449,1.0549,0.202,22.2995,14.4436,0.2469,19.1,11.22675159,98000,2.3041,15.3672,1.5429,13.7215,0.2057,1.728,3.6824,7.0356,4.6904,0.3086,0.1646,0.5966,0.4526,0.3497,0.8434,0.4937,5.8218,0.0823,34.6225,4.6904,1.296,0.1535,33.1901,0.1289,10.5108,0.485,8.2146,1.2586,16.067,7.4349,0.8534,0.7674,0.8841,0.3438,0.4666,0.4113,0,0.0737,16.8161,0.043,1.6024,0.2947,mid_gni
south america,argentina,5654408,117169,0.002698705,56.5453597,17.10501261,39.44034709,370735,6,12460,94,94,94,89,93,92.8,96.4,98.3,96.2,99.1,100,99,0.126378674,790,100,52,9513,90,1.3,0,1.4,8.237491585,8.90442709,25.19419749,24.24287909,26.18704183,10938503,5375144,5563359,8.063808976,8.710086872,7.941578527,7.626231094,8.223330221,63.87924892,13958481,62.95529331,13775816,64.84353605,27734297,7.682234027,8.254090832,7.448561484,7.931017343,7.144503037,7.55485297,7.284260055,7.564229425,6.139309698,6.26985495,5.404073317,5.467471372,5.082488302,5.015937621,4.776941495,4.574773513,4.366690807,3.987977803,10.92655359,2838428,12.8018276,1905527,8.969422118,4743955,3.719957732,3.240205487,3.015769446,2.374526129,2.378431082,1.630199379,3.687669338,1.724491123,8.572527871,1.010993037,43416755,8.249,-0.755352893,91.751,1.171338102,30.3572,3.3076,1.3316,1.5706,0.1664,0.2091,19.2693,0,5.8512,0.1878,0.064,0.0213,0.0213,0.111,0.2475,0.1366,19.6449,17.3147,0.1878,28.5,4.6,45377000,1.4354,14.9869,1.065,16.7927,0.8643,0.2006,1.4663,9.4459,3.1641,0,0.2624,0.0309,0.1235,0.0309,1.4045,0.2315,7.0536,0.0463,34.99,5.541,0.8643,0.1704,31.9799,0.0097,13.6702,2.0593,1.0223,0.5209,21.625,5.8322,1.4313,0.0097,0.2434,0.0292,1.3096,0.9688,0.0049,0.0438,18.0176,0,1.0516,0,mid_gni
europe,armenia,344930,7972,0.002641737,41.26264721,15.29307073,25.96957648,19302,6.4,3880,94,94,94,97,96,95,89.5,78.2,96.2,100,100,100,0.042664932,2300,100,25,577,140,0,0,0,6.221724001,7.614373878,18.38389482,16.5290962,20.52852746,554773,267474,287299,5.653871182,6.955143618,4.653501017,5.489985484,6.428030934,70.79012179,1150713,71.11063459,985529,70.41952511,2136242,8.449012206,8.610078806,9.343215089,9.411501589,8.205840931,8.596216821,6.706707016,6.683763114,5.71715133,5.568730792,5.808796311,5.478842253,7.974225699,7.56056937,7.538309518,6.988655323,5.877391004,5.093136103,10.82598339,200014,12.36026921,126683,9.05194743,326697,3.354651245,2.968322507,1.902421269,1.456794552,3.534665965,2.53409941,3.568530733,2.092730961,5.959009968,0.383740747,3017712,37.327,0.756748326,62.673,0.162243032,29.6642,6.2619,2.5068,1.6196,0.2218,0.5468,10.8165,0.0361,10.4709,0.2734,0.6602,0.0774,0.0103,0.0567,1.8002,0.9542,20.3384,12.8127,0.8717,20.9,4.3,2956000,0.2274,12.833,1.7706,19.2658,0.731,0.1787,2.5341,4.2235,5.6368,0.1137,0.2924,0.2274,0.4386,0.0162,1.2508,0.6985,5.2956,0.3086,37.167,3.5737,3.2164,0.0411,22.8846,0.1438,18.2738,1.756,0.8831,1.1142,8.5233,10.038,1.5404,0.2619,0.9191,0.0154,0.9191,0.5545,0.0051,0.2208,27.1154,0.0205,4.6621,0.1078,mid_gni
oceania,australia,425496,2253,9.47E-05,50.92736435,22.70683236,28.22053199,145301,5.1,60070,93,93,93,91,93,92.6,100,100,100,100,100,100,0.011521205,8700,88.875,6,1146,105.4117647,0,0,0,6.26920385,6.630822562,18.6980894,18.18324932,19.21366474,4446624,2163637,2282987,6.172998034,6.534980359,5.741047431,5.981762086,6.429485464,66.25703571,7836911,65.86154401,7919787,66.65309222,15756698,6.775147381,7.239693602,7.377088274,7.588960695,7.358394095,7.473195204,6.451768101,6.397563113,7.173428451,7.091571556,6.460064581,6.400235138,6.701062733,6.718022434,6.164184588,6.045690796,5.418643716,5.26867422,15.04487489,1898521,15.95520668,1679326,14.13324304,3577847,4.970958985,4.956615078,3.61632307,3.497906427,2.747935927,2.533313683,4.619988697,3.145407853,6.047861816,1.342305215,23781169,10.577,0.083363632,89.423,1.492267146,24.1099,4.603,0.9908,0.7017,0.4515,0.4028,11.6002,0.052,6.5196,0.2339,1.2929,0.026,0.1007,0.0422,0.7926,1.6145,25.8901,20.3612,0.2144,30.4,2.5,25754000,1.9783,15.6146,1.9027,11.643,0.4681,0.604,1.6611,7.4902,4.8022,0.2114,0.3473,0.6645,0.1359,0.1057,1.3138,0.5134,5.7989,0.8457,34.3854,8.3812,1.1326,0.2914,32.9787,0.074,10.9343,1.0916,2.8585,0.518,18.8298,8.432,1.6929,0.6984,0.2683,0.1203,0.9944,0.7031,0,0.7724,17.0213,0.0463,1.4524,0.2174,high_gni
europe,austria,1270811,16815,0.001952715,49.17973629,27.98482058,21.19491571,40166,6.9,47120,98,98,98,96,98,97.6,100,100,100,100,100,100,0.005491818,18200,100,4,288,112,0,0,0,4.52095261,4.939541088,14.20763979,13.64302774,14.79269579,1223432,597852,625580,4.449935779,4.841121544,4.672139348,5.1946466,5.590659056,67.03323016,2868474,65.45877494,2903817,68.66469462,5772290,6.04091517,6.634573475,6.206682435,6.796405709,6.509630853,6.981758545,6.268914153,6.37270123,7.141860029,7.039761734,8.138533415,8.517699194,7.747411899,8.409032579,6.729005707,7.020053995,5.481174675,5.302049104,18.75913005,915781,20.89819733,699584,16.54260959,1615365,5.187172355,4.888710849,5.225578478,4.771989559,4.013876799,3.295029146,6.471569695,3.586880031,5.01203316,0.810525812,8611088,34.032,0.666637295,65.968,0.88483697,27.8268,12.8517,1.2297,1.2147,0.4259,0.2249,8.1099,0,5.1497,0.075,1.1367,0.012,0.102,0.045,0.4439,0.8398,22.1762,17.9323,0.2039,21.9,2.5,8914000,2.8161,15.6106,5.2532,12.3748,0.7853,0.4062,1.5976,5.0095,4.0482,0,0.1083,0.6905,0.1083,0.1083,1.4622,0.3656,6.2551,0.4197,34.3894,7.1622,1.029,0.615,30.0009,0.3376,13.1508,2.1456,1.8358,0.6242,13.6549,11.4954,0.5318,1.5028,0.2405,0.1341,1.045,0.726,0.0139,0.3561,19.9991,0.0647,1.5259,0,high_gni
europe,azerbaijan,616947,8358,0.000865993,38.01600762,7.764910795,30.25109682,103561,6.5,6560,96,96,96,98,98,96.8,89.3,86.6,91.6,87,77.8,94.7,0.062498517,1600,100,25,7206,126,0.2,0.3,0,8.678713267,10.40671842,21.91854638,20.26413812,23.58756358,2115435,982180,1133256,5.924009814,6.764203243,5.661415043,6.74754033,7.73379554,72.45536381,3547051,73.18203699,3445869,71.72227387,6992920,9.075208302,9.568542858,10.05278843,9.670755874,8.938674536,8.962720155,6.613946287,6.475275901,6.689562475,6.439461185,6.710120116,5.997265807,7.979386015,7.523314577,5.697671618,5.191753924,4.677138883,4.159388048,5.626089813,317656,6.553824885,225337,4.690162548,542994,1.501218147,1.207361644,1.629728921,1.192986329,1.935480447,1.269785108,1.48739737,1.020029467,6.416641918,1.212017404,9651349,45.38,0.629749739,54.62,1.69837546,32.1198,7.7987,5.4481,2.0197,0.2122,0.594,11.9993,0.017,9.9202,0.1612,0.1867,0.0255,0.017,0.1697,1.3663,2.2573,17.8802,7.1538,0.6534,19.9,2.5,10108000,2.2555,8.1682,1.305,28.7417,0.5478,0.0967,1.6111,2.9322,3.1738,0.0322,0.1128,0.0483,0.0806,0.0161,2.2072,0.3061,3.4155,0.4511,41.8237,1.2083,1.4661,0.3465,16.3039,0.0596,28.2218,1.4078,0.4873,0.5631,6.8551,6.8497,0.6444,0.0541,0.1787,0.0108,1.7652,0.2328,0,0.3411,33.7015,0.0217,1.9114,0.0433,mid_gni
