covid_fatality_rate,continent,country,age dependency ratio (% of working-age population),"age dependency ratio, old","age population, age 0, female, interpolated",diabetes prevalence (% of population ages 20 to 79),female population 45-49,female population 80+,"gni per capita, atlas method (current us$)","immunization, dpt (% of children ages 12-23 months)","immunization, hib3 (% of children ages 12-23 months)","immunization, measles (% of children ages 12-23 months)",improved sanitation facilities (% of population with access),improved water source (% of population with access),"improved water source, urban (% of urban population with access)",lifetime risk of maternal death (%),lifetime risk of maternal death (1 in: rate varies by country),maternal leave benefits (% of wages paid in covered period),"mortality rate, infant (per 1,000 live births)",number of infant deaths,number of maternal deaths,number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, urban (% of urban population)","population ages 00-04, female (% of female population)","population ages 15-19, female (% of female population)","population ages 20-24, female (% of female population)","population ages 25-29, female (% of female population)","population ages 30-34, female (% of female population)","population ages 30-34, male (% of male population)","population ages 35-39, female (% of female population)","population ages 40-44, female (% of female population)","population ages 60-64, female (% of female population)",population growth (annual %),"population, female (% of total)",rural population (% of total population),rural population growth (annual %),urban population growth (annual %),fat_animal products,fat_animal fats,fat_cereals - excluding beer,fat_eggs,"fat_fish, seafood",fat_fruits - excluding wine,fat_meat,fat_miscellaneous,fat_milk - excluding butter,fat_offals,fat_oilcrops,fat_pulses,fat_spices,fat_starchy roots,fat_stimulants,fat_treenuts,fat_vegetable oils,fat_vegetables,obesity,undernourished,kcal_alcoholic beverages,kcal_animal products,kcal_cereals - excluding beer,"kcal_fish, seafood",kcal_fruits - excluding wine,kcal_meat,kcal_offals,kcal_spices,kcal_sugar & sweeteners,kcal_vegetable oils,kcal_vegetables,protein_alcoholic beverages,protein_animal fats,protein_milk - excluding butter,protein_oilcrops,protein_stimulants,protein_sugar & sweeteners,protein_vegetable oils,gni_category
0.000226154,asia,afghanistan,86.95446405,4.616073461,470554,8.8,496113,43481,630,78,78,68,31.9,55.3,78.2,1.92613064,52,100,66.3,67399,4300,90,12.7,0,15.30994566,11.814034,9.304165631,7.414546618,6.247964655,6.425199825,5.005364741,3.933108519,1.577180471,2.802986283,48.43075023,73.297,2.230252873,4.392151969,21.6397,6.2224,8.0353,0.6859,0.0327,0.4246,6.1244,0.0163,8.2803,0.3103,1.0452,0.196,0.2776,0.049,0.098,0.7513,17.0831,0.3593,4.5,29.8,0,4.7774,37.1186,0,1.4757,1.2006,0.1251,0.1001,2.2261,2.3012,0.7504,0,0.0277,5.5278,0.2034,0.5546,0,0,low_gni
0.00111347,europe,albania,44.80697279,17.95076647,21438,10.3,97198,41381,4290,98,98,98,93.2,95.1,94.9,0.053360538,1900,65,12.5,564,11,365,0,0,6.117577108,8.611653591,9.008335737,7.562168675,6.173815416,5.868097604,5.794669211,6.302937475,5.380862124,-0.155183807,50.39767955,42.593,-2.47127694,1.598580321,32.0002,3.4172,2.6734,1.6448,0.1445,0.6418,8.7428,0.017,17.7576,0.2933,3.1622,0.1148,0,0.051,0.527,0.9181,9.2443,0.6503,22.3,6.2,0.912,16.093,16.2107,0.1471,3.8982,3.8688,0.2648,0,3.4422,2.8244,2.7508,0.184,0.0711,16.475,0.3722,0.2635,0.0042,0.0084,mid_gni
0.000158219,africa,algeria,52.61757885,9.062489936,459353,7.5,1053861,253907,4870,95,95,95,87.6,83.6,84.3,0.41934133,240,100,21.9,20899,1300,98,0.8,0.2,11.44753022,7.48882422,8.9738324,9.474387606,9.058215533,9.005194211,7.722490051,6.280497937,3.019313849,1.86309983,49.6865253,29.273,-0.159153932,2.712199755,14.4175,0.8972,4.2035,1.2171,0.2008,0.5772,3.8961,0.0439,8.0934,0.1067,1.1983,0.2698,0.1568,0.1129,0.2886,0.8595,27.3606,0.5145,26.6,3.9,0.0896,6.0326,25.0112,0.1195,3.1805,1.2543,0.0597,0.1195,3.9869,5.7638,2.0457,0.0323,0.0054,8.0616,0.183,0.4628,0,0.0269,mid_gni
7.07E-05,africa,angola,99.85575099,4.623603946,502641,4.1,383280,38663,4180,64,64,55,51.6,49,75.4,3.084885865,32,100,96,104291,5400,90,30.3,0.5,18.59900481,10.65544367,8.760813094,7.23648878,5.911485698,5.878364317,4.792800637,3.787285866,1.616964342,3.226505657,50.37884701,55.95,1.849081878,5.003843209,15.3041,1.313,6.5545,0.1539,1.4155,0.3488,11.0268,0.0308,1.2309,0.1539,3.9902,0.3282,0.0103,0.7078,0.1128,0.0308,22.4638,0.1231,6.8,25,1.9388,4.6927,18.3521,0.8372,2.3133,2.9302,0.1102,0,2.7539,4.2741,0.3525,0.6285,0.0277,1.146,2.1534,0.1017,0.0092,0.0092,mid_gni
0.001296042,north america,antigua and barbuda,45.65038071,10.43464467,734,13.6,4400,947,13390,99,99,98,73.56153846,97.9,97.9,0.709157384,3161.220126,78,5.8,9,1767.037736,91,9.441721854,2.777124183,7.554924993,8.195455778,8.420789084,7.509023764,6.926912725,6.880995238,5.823196812,7.872060757,3.501011913,1.004835565,52.20000436,76.227,1.553655776,-0.734877899,27.7033,4.6686,3.2153,0.3872,1.5263,1.2177,14.3202,0.0898,6.6607,0.1347,1.3579,0.0673,0.3591,0.0449,1.0549,0.202,14.4436,0.2469,19.1,11.22675159,2.3041,15.3672,13.7215,1.728,3.6824,7.0356,0.1646,0.3497,5.8218,4.6904,1.296,0.1535,0.1289,7.4349,0.7674,0.4113,0,0.043,mid_gni
0.002698705,south america,argentina,56.5453597,17.10501261,370735,6,1198194,817632,12460,94,94,89,96.4,99.1,99,0.126378674,790,100,11.1,8464,390,90,1.3,1.4,8.237491585,7.626231094,7.682234027,7.448561484,7.144503037,7.55485297,7.284260055,6.139309698,4.366690807,1.010993037,51.06796443,8.249,-0.755352893,1.171338102,30.3572,3.3076,1.3316,1.5706,0.1664,0.2091,19.2693,0,5.8512,0.1878,0.064,0.0213,0.0213,0.111,0.2475,0.1366,17.3147,0.1878,28.5,4.6,1.4354,14.9869,16.7927,0.2006,1.4663,9.4459,0.2624,0.0309,7.0536,5.541,0.8643,0.1704,0.0097,5.8322,0.0097,0.9688,0.0049,0,mid_gni
0.002641737,europe,armenia,41.26264721,15.29307073,19302,6.4,93998,57746,3880,94,94,97,89.5,100,100,0.042664932,2300,100,12.6,513,10,140,0,0,6.221724001,5.489985484,8.449012206,9.343215089,8.205840931,8.596216821,6.706707016,5.71715133,5.877391004,0.383740747,53.62344054,37.327,0.756748326,0.162243032,29.6642,6.2619,2.5068,1.6196,0.2218,0.5468,10.8165,0.0361,10.4709,0.2734,0.6602,0.0774,0.0103,0.0567,1.8002,0.9542,12.8127,0.8717,20.9,4.3,0.2274,12.833,19.2658,0.1787,2.5341,4.2235,0.2924,0.0162,5.2956,3.5737,3.2164,0.0411,0.1438,10.038,0.2619,0.5545,0.0051,0.0205,mid_gni
9.47E-05,oceania,australia,50.92736435,22.70683236,145301,5.1,768688,549736,60070,93,93,91,100,100,100,0.011521205,8700,88.875,3,896,19,105.4117647,0,0,6.26920385,5.981762086,6.775147381,7.377088274,7.358394095,7.473195204,6.451768101,7.173428451,5.418643716,1.342305215,50.03567737,10.577,0.083363632,1.492267146,24.1099,4.603,0.9908,0.7017,0.4515,0.4028,11.6002,0.052,6.5196,0.2339,1.2929,0.026,0.1007,0.0422,0.7926,1.6145,20.3612,0.2144,30.4,2.5,1.9783,15.6146,11.643,0.604,1.6611,7.4902,0.3473,0.1057,5.7989,8.3812,1.1326,0.2914,0.074,8.432,0.6984,0.7031,0,0.0463,high_gni
0.001952715,europe,austria,49.17973629,27.98482058,40166,6.9,356639,283591,47120,98,98,96,100,100,100,0.005491818,18200,100,2.9,239,3,112,0,0,4.52095261,5.1946466,6.04091517,6.206682435,6.509630853,6.981758545,6.268914153,7.141860029,5.481174675,0.810525812,50.88912441,34.032,0.666637295,0.88483697,27.8268,12.8517,1.2297,1.2147,0.4259,0.2249,8.1099,0,5.1497,0.075,1.1367,0.012,0.102,0.045,0.4439,0.8398,17.9323,0.2039,21.9,2.5,2.8161,15.6106,12.3748,0.4062,1.5976,5.0095,0.1083,0.1083,6.2551,7.1622,1.029,0.615,0.3376,11.4954,1.5028,0.726,0.0139,0.0647,high_gni
0.000865993,europe,azerbaijan,38.01600762,7.764910795,103561,6.5,325232,72092,6560,96,96,98,89.3,87,94.7,0.062498517,1600,100,27.9,6519,48,126,0.2,0,8.678713267,6.74754033,9.075208302,10.05278843,8.938674536,8.962720155,6.613946287,6.689562475,4.677138883,1.212017404,50.21978748,45.38,0.629749739,1.69837546,32.1198,7.7987,5.4481,2.0197,0.2122,0.594,11.9993,0.017,9.9202,0.1612,0.1867,0.0255,0.017,0.1697,1.3663,2.2573,7.1538,0.6534,19.9,2.5,2.2555,8.1682,28.7417,0.0967,1.6111,2.9322,0.1128,0.0161,3.4155,1.2083,1.4661,0.3465,0.0596,6.8497,0.0541,0.2328,0,0.0217,mid_gni
