,covid_confirmed_cases,covid_fatality_rate,age dependency ratio (% of working-age population),"age dependency ratio, old","age population, age 0, female, interpolated",diabetes prevalence (% of population ages 20 to 79),"gni per capita, atlas method (current us$)","immunization, dpt (% of children ages 12-23 months)","immunization, hib3 (% of children ages 12-23 months)","immunization, measles (% of children ages 12-23 months)",improved sanitation facilities (% of population with access),improved water source (% of population with access),"improved water source, urban (% of urban population with access)",lifetime risk of maternal death (%),lifetime risk of maternal death (1 in: rate varies by country),maternal leave benefits (% of wages paid in covered period),"mortality rate, infant (per 1,000 live births)",number of infant deaths,number of maternal deaths,number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, urban (% of urban population)","population ages 20-24, female (% of female population)","population ages 25-29, female (% of female population)","population ages 30-34, female (% of female population)","population ages 30-34, male (% of male population)","population ages 35-39, female (% of female population)","population ages 40-44, female (% of female population)",population growth (annual %),"population, female (% of total)",rural population (% of total population),rural population growth (annual %),urban population growth (annual %),fat_animal products,fat_animal fats,fat_cereals - excluding beer,fat_eggs,"fat_fish, seafood",fat_fruits - excluding wine,fat_meat,fat_miscellaneous,fat_milk - excluding butter,fat_offals,fat_oilcrops,fat_pulses,fat_spices,fat_starchy roots,fat_stimulants,fat_treenuts,fat_vegetable oils,fat_vegetables,obesity,undernourished,kcal_alcoholic beverages,kcal_animal products,kcal_cereals - excluding beer,"kcal_fish, seafood",kcal_fruits - excluding wine,kcal_meat,kcal_offals,kcal_spices,kcal_sugar & sweeteners,kcal_vegetable oils,kcal_vegetables,protein_alcoholic beverages,protein_animal fats,protein_oilcrops,protein_stimulants,protein_sugar & sweeteners,protein_vegetable oils
covid_confirmed_cases,1.0,0.20842695676162928,-0.14251745547625158,0.16074276717317298,0.478769699040703,0.06672787864658698,0.19407933544388567,0.07748321464948131,-0.04018335142852076,0.09043717289356855,0.12296885944183543,0.16741068756401992,0.12788764179887974,-0.1483481263409865,0.06710266621458548,0.03377712730692473,-0.14552169767941514,0.3703310106973881,0.22353719122059462,0.011496223838317407,-0.04599534435050595,-0.05344270512706494,-0.16903260468584305,-0.08822639601228655,0.018729797300104857,0.019924921045396,0.0914569580558488,0.1421601217394447,-0.1341071472802569,0.02526040267509732,-0.17100389297434748,-0.12668736232880498,-0.131129544788638,0.061858851666745616,0.10364253072546853,-0.16985980744740864,0.11516639357381717,-0.09245056808343069,-0.04971953086480729,-0.017734281851961787,-0.17814693243419794,0.08397136066195164,-0.17132808291366738,-0.10120198476345545,-0.010098438158955456,-0.03533654436180112,-0.10989740792515042,-0.10196087745413773,0.07136089570749717,0.09705588984595315,-0.04741494610718659,0.15508007252166267,-0.1513565771166589,0.06244513413799236,0.1298714411913026,-0.12678382789897824,-0.06758491544591512,-0.05291329523046194,0.10168653212249258,-0.12453030447002425,0.0036529337749345984,0.14585387901038083,0.24181418376928077,-0.0006683056134170626,0.004355976602368775,-0.002644679023000366,-0.09883787628329645,0.04430646680698588,0.1814216889118739,0.16571219516473412
covid_fatality_rate,0.20842695676162928,1.0,-0.47014541274099986,0.47455515832556977,-0.13503517521275413,0.16399868068300089,0.11488930429352358,0.2300810799287815,0.23303224152331659,0.28526354135037557,0.48815317960772414,0.47733421908367873,0.3595084794208875,-0.43871044270770904,0.26553661475943047,0.024732265564191867,-0.5209818937413191,-0.19044034892616699,-0.21377805289917126,0.3531944899516592,-0.3916858798955428,-0.28111703502775093,-0.4628095911945976,-0.19459695122301637,0.03154710238872772,0.11799773540222283,0.3462426020750625,0.4323516840235075,-0.5393549872137703,0.208897368557193,-0.33412821650727215,-0.34816300002065437,-0.5838910660812936,0.44401746471687953,0.3997652122545823,-0.38455566021031773,0.36603288136120515,-0.17309386988330255,-0.0648946794071628,0.20943126238677667,-0.015813222292037427,0.37483444116289133,-0.12749559239011998,-0.32818978633858586,-0.27802798472609447,-0.09331794631266649,-0.2580699990559298,0.3547321260324358,0.07995771938632963,-0.11848075013227462,0.021185686049336898,0.45436241130184846,-0.4152601654102452,0.43701801276295577,0.4536442153968932,-0.342142097912873,-0.13014563656234762,-0.021239132466201835,0.3370686043966927,0.03574798949611252,0.0114087232878286,0.38600062589176337,0.17730141180358097,0.19045738908620682,0.2197332443806261,0.3117470225477248,-0.37296297952904894,0.2857409294925108,0.08923697758956933,0.3163421908108755
age dependency ratio (% of working-age population),-0.14251745547625158,-0.47014541274099986,1.0,-0.38890062114792545,0.009272570566120733,-0.5130858828739918,-0.32205067436077983,-0.49065803029880484,-0.3899159186677923,-0.5593559235221869,-0.7794067776604386,-0.7100336440947743,-0.4636278986003254,0.8067997208297151,-0.3458710673297725,0.05202011501070785,0.7692661064976668,0.1760315243849683,0.29190061463867745,-0.21157107134750971,0.6091521543094349,0.4284314154863579,0.31159815459956536,-0.15317013027638463,-0.49267823470393185,-0.5572094374961993,-0.7680444159442428,-0.8339579269850247,0.6222210307945394,0.13214579337718235,0.4671225603346245,0.4969102175883849,0.6595973963097054,-0.5805057158488086,-0.3903465438466231,0.5237976601355201,-0.5764197448925277,-0.03621958660274548,0.07447580208137713,-0.38550294492011516,-0.2039138312842443,-0.3665791602066036,0.16897948873115104,0.3892168221408192,0.3647775295779276,-0.07299742233965717,0.4443296401949449,-0.37117859371449974,-0.2951621659456363,0.2054143995547117,-0.25642280209801144,-0.5397727779925239,0.5873637146144614,-0.2918854492185024,-0.5723815186279138,0.32381891867667584,-0.141340409721499,-0.04296649784942573,-0.48455844591894565,-0.06626876658872904,-0.18896245288131386,-0.5062917821296672,-0.12138452575537133,-0.4544795851046119,0.027453057680519432,-0.27362232461894204,0.5122804782321724,-0.2165098069948363,-0.10893126707120171,-0.26177388914501015
"age dependency ratio, old",0.16074276717317298,0.47455515832556977,-0.38890062114792545,1.0,-0.11546705093276458,-0.06155649748194229,0.6084716008969436,0.3284217838377515,0.28249488743539103,0.3457116152215085,0.6032729094517775,0.5618195485411731,0.44475997492176034,-0.47502129230091084,0.7616295612954965,-0.14483731948679296,-0.6505057321072498,-0.19175982800635769,-0.21525191014202968,0.33642758092453506,-0.43707915384484086,-0.3263768404588868,-0.8851888751873542,-0.6920948178817307,-0.38622328417771934,-0.21062742449955119,0.14247861055002012,0.5696626300657798,-0.7027933606346273,0.3386984568491862,-0.5035203399545489,-0.6243716182414564,-0.695356632611515,0.5955605907131596,0.6045772094370873,-0.5242511855670572,0.4058427147678717,-0.04146525115315011,-0.14147668818366763,0.25275257210014973,-0.08075558652052119,0.4418768529519031,-0.2670453097068376,-0.3087761203856514,-0.3825491573343715,-0.17973520958192304,-0.3280401684831442,0.3736571174845199,0.16883250227395052,-0.2314537603077821,-0.025230606569553126,0.41865594700204856,-0.5127411921699232,0.6567432487775371,0.7111200673008926,-0.544850191234194,0.1334486176418541,-0.1045656795456988,0.5008694017359906,0.01990266699897662,-0.0722984503951187,0.31084875899903763,0.2511090457458861,0.24350949198808314,0.37828867647059766,0.5403039784160241,-0.2810780760194784,0.3845195478632035,0.01174756762882406,0.46358592922293507
"age population, age 0, female, interpolated",0.478769699040703,-0.13503517521275413,0.009272570566120733,-0.11546705093276458,1.0,-0.0036113169470415756,-0.11304856162964798,-0.0715297591099014,-0.266496904892173,-0.08096622115918801,-0.15322864613642276,-0.05717394388464587,-0.05690991006474998,0.056231411298788676,-0.12358143480666561,0.07224623547241713,0.11838289258911067,0.8640727979986618,0.6725434261406027,-0.03827769922102345,0.1483990071412901,0.08819669139994851,0.05720033773946497,0.08478435970536405,0.030410446667062635,-0.01784968996837765,0.011434203326997464,0.032649786533046884,0.0450340586327423,-0.08239543877475136,0.12365410327505949,-0.005258571007131206,0.1378629106209301,-0.07923984317189198,-0.010968500665009267,0.07113738676568922,0.058025375793540564,-0.022071307316328857,-0.034743003476833886,-0.0828747383465442,-0.11538809858973785,-0.0725783816588321,0.08077885490280999,-0.013094334977519115,0.17930458277012418,0.0880532647632913,0.03533896371084165,-0.15570400480101118,0.00783090853570921,0.06955295161920584,0.08412100344746275,-0.24206340710440274,0.06079706169428085,-0.14518821279607766,-0.09329009107932416,0.14439639721132352,-0.025172273484624655,-0.0838829138384309,-0.08581275201037726,0.09617129050520459,0.10785785798671124,-0.13485800707025788,-0.041091393244061115,0.04316337959143658,-0.10226045268250877,-0.12199928187088185,0.03739092324974055,-0.11391768570808546,0.09669201931336359,-0.08352435807418129
diabetes prevalence (% of population ages 20 to 79),0.06672787864658698,0.16399868068300089,-0.5130858828739918,-0.06155649748194229,-0.0036113169470415756,1.0,0.028598822765339482,0.22849614205234445,0.20979467308129301,0.25179301149199124,0.44431879428001275,0.37973413574782733,0.2713073558850162,-0.44041768471095144,-0.01614185076120404,-0.12180904560675065,-0.37427161841027223,-0.0772464469904687,-0.15599273048175916,-0.07561701993785447,-0.36839331651345736,-0.2742101494715041,0.06679584528736346,0.2546396168843628,0.39787335846820593,0.39221344532685787,0.536042327613706,0.4089580439776044,-0.12868855820623787,-0.36456797959582443,-0.15368224412707032,-0.028183816001448193,-0.26561577915851664,0.16239565699995123,0.04745206579482681,-0.24143766983644915,0.2352627723325419,0.08834181607734258,-0.009445911271096686,0.17320221564418548,0.3283477566372857,0.03663243060045721,-0.14277368226145587,0.04740664448133527,-0.15612028541486375,0.012356437780736874,-0.21260201947894192,0.17097419117798762,0.0836906076093773,-0.12312765860910338,0.0182538079646031,0.48908411683376785,-0.3143821716173363,-0.14497097786580443,0.1854227845720468,-0.17984574099350759,0.18922280349716739,0.11447007388944963,0.2357840267030259,-0.05853740917617675,0.12081994401386636,0.4207340148290016,0.057370889346209514,0.12229031408988544,-0.2716395348901294,-0.017577220227591384,-0.16941555306755562,-0.024789780221646955,0.02592357274797461,0.05264003916808358
"gni per capita, atlas method (current us$)",0.19407933544388567,0.11488930429352358,-0.32205067436077983,0.6084716008969436,-0.11304856162964798,0.028598822765339482,1.0,0.3130455017293357,0.31857655989240974,0.30781413248063866,0.49627543406997227,0.44197970908423656,0.33328236777830855,-0.34741099084722493,0.6557113608448565,-0.20954251994242157,-0.5004347187023832,-0.17146692971038666,-0.17957225062383153,0.03427687744884068,-0.33086187522935184,-0.22560605730138406,-0.52496872845992,-0.3358634061658635,-0.059981210444269066,0.0414349067298512,0.207750519623211,0.43967867951706785,-0.22221484245153567,-0.11811324232531265,-0.5696111920900834,-0.28608856532491833,-0.32824544927051286,0.4183762839769464,0.4484380811837802,-0.4187915342194204,0.24753127387740576,-0.0026114568282792,-0.1068814803955767,0.18316553047673492,0.08633791376871154,0.2812201061824263,-0.242900889959608,-0.2294092862641514,-0.275823968753372,-0.16974278914601884,-0.29890133820527776,0.25392843168804713,0.23995153143411904,-0.13440961783770486,-0.12537872982210435,0.39084760334459395,-0.40704368226829385,0.4273273576879489,0.6015865286197667,-0.4950098965200976,0.1965186660245266,-0.01397724951707148,0.458562753054496,-0.03400817264909502,-0.0996617064447302,0.28933963051110334,0.30052850352487553,0.08733121526363545,0.24106101703038468,0.4475292221052652,-0.19419473357594044,0.3767640477998338,0.02052073159242481,0.45921084682017077
"immunization, dpt (% of children ages 12-23 months)",0.07748321464948131,0.2300810799287815,-0.49065803029880484,0.3284217838377515,-0.0715297591099014,0.22849614205234445,0.3130455017293357,1.0,0.8475937208293901,0.8669545982196938,0.5071925334541869,0.4933275569487986,0.4217022222417722,-0.527287757071266,0.32539926478886744,-0.020718928520182662,-0.5580759546315175,-0.20512123955158154,-0.27544845233182913,0.13601403471361226,-0.3855433785538466,-0.26976200787547,-0.24223780199689418,-0.00856364024796141,0.19421551679290386,0.20920878237556442,0.39903589657028243,0.4714360820252883,-0.3468302700441945,-0.011124328558617988,-0.28996286815510386,-0.32626893319639133,-0.34670132513235824,0.3232721756025281,0.22262135352107285,-0.26694384809986316,0.2547889016835319,0.08421655001077949,0.033121902118247615,0.17212554375668906,0.14656036797080446,0.2578221663169396,-0.2005288762249581,-0.19342146328,-0.14504170969481933,0.07335615601660213,-0.21673516891981753,0.2597116732683448,0.20839163278594722,-0.1684593101196439,0.10513364172171383,0.2844482275251409,-0.46543435190891613,0.2362911085210283,0.38386993733270325,-0.25740423785863475,0.15378304474074417,0.08227948376625935,0.28677334088807716,-0.04465043024927596,0.13915162701541373,0.29149407772863806,0.10017201616986168,0.2802093566716801,0.10316777749393877,0.2057552984401412,-0.2636690436941308,0.1951647313372147,-0.03867857653864373,0.2047268546194804
"immunization, hib3 (% of children ages 12-23 months)",-0.04018335142852076,0.23303224152331659,-0.3899159186677923,0.28249488743539103,-0.266496904892173,0.20979467308129301,0.31857655989240974,0.8475937208293901,1.0,0.7341170959487754,0.4466967597536656,0.40366740720363176,0.3540575567342908,-0.4426095714399942,0.23741223115534876,-0.05273327093074417,-0.4755513413555679,-0.370702707833753,-0.37051176141220743,0.09454622353411397,-0.35156299627306403,-0.24054812855358854,-0.17411148953980965,-0.011307337889329222,0.17025308585412094,0.16735252843172224,0.34516493594541614,0.38736508816006743,-0.2608970237797393,-0.03725185793578687,-0.2594766497321363,-0.2405927549460166,-0.2803838360183237,0.2866772260641447,0.14043080905001018,-0.2327237377695301,0.19078805117124664,0.09979219548050779,0.03643113639651228,0.15967558557866118,0.14574010239453394,0.2747098849865926,-0.20338755929143748,-0.15990370589149605,-0.1379694472607289,0.05339545858654632,-0.17800478307075276,0.2400354765442553,0.19123857271682781,-0.1619013920142321,0.09917568131758178,0.2527536078749077,-0.3977940914954362,0.15409442590887001,0.33289877057713374,-0.2072513890492996,0.15364969315758106,0.08747332367104883,0.24220087246151822,-0.11745694156955508,0.09947448864032374,0.2652394476301071,0.06391615123544367,0.22634131044633654,0.09483919775278986,0.18901342343457467,-0.22141526011943138,0.1862980669394556,-0.041628923769693384,0.2098217103400424
"immunization, measles (% of children ages 12-23 months)",0.09043717289356855,0.28526354135037557,-0.5593559235221869,0.3457116152215085,-0.08096622115918801,0.25179301149199124,0.30781413248063866,0.8669545982196938,0.7341170959487754,1.0,0.5922394910229223,0.5689733713576426,0.48013676835972635,-0.5830013584611554,0.29676092781090363,-0.0046559913859442895,-0.6378095215552113,-0.24093893225948193,-0.3140315777182258,0.17775547319674329,-0.44049939539261884,-0.3044101672013793,-0.2754137516114185,0.0015653756945240098,0.20585945616722318,0.23006991171158778,0.45426107854658826,0.5394851859587322,-0.408533083060545,0.031218057771008802,-0.3304325534879876,-0.35889373894115073,-0.43312297278513195,0.3945238113365803,0.2821282583874829,-0.291330532358174,0.3983456891403628,0.0627225312167486,0.07004608845478355,0.23195466329777656,0.14318683427730902,0.26605159291701164,-0.19818592286909242,-0.22814256216337206,-0.15958522042605439,0.03302409569046577,-0.29314680102687335,0.2287588326199745,0.2026622912383711,-0.21159138490683946,0.16066641971027767,0.34324350168557705,-0.5136907477137934,0.27405468870765054,0.42179925216911573,-0.27966120479554674,0.14909298325065884,0.11571032289025926,0.3298369837591585,-0.02800478306413513,0.1173277810325577,0.39463737700147045,0.08873918945813335,0.34430970528753585,0.1163841386200073,0.2473905173277128,-0.29407760368044783,0.13027282864056827,0.026757361479603465,0.21860838070035524
