country,"gni per capita, atlas method (current us$)","immunization, hepb3 (% of one-year-old children)",improved sanitation facilities (% of population with access),"improved sanitation facilities, rural (% of rural population with access)","improved sanitation facilities, urban (% of urban population with access)",improved water source (% of population with access),"improved water source, rural (% of rural population with access)",maternal leave benefits (% of wages paid in covered period),number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, rural (% of rural population)","people practicing open defecation, urban (% of urban population)",undernourished
afghanistan,630,78,31.9,27,45.1,55.3,47,100,90,12.7,17.4,0,29.8
albania,4290,98,93.2,90.2,95.5,95.1,95.2,65,365,0,0,0,6.2
algeria,4870,95,87.6,82.2,89.8,83.6,81.8,100,98,0.8,2.3,0.2,3.9
angola,4180,64,51.6,22.5,88.6,49,28.2,100,90,30.3,53.8,0.5,25
antigua and barbuda,13390,99,,,,97.9,97.9,78,91,,,,
argentina,12460,94,96.4,98.3,96.2,99.1,100,100,90,1.3,0,1.4,4.6
armenia,3880,94,89.5,78.2,96.2,100,100,100,140,0,0,0,4.3
australia,60070,93,100,100,100,100,100,,,0,0,0,2.5
austria,47120,98,100,100,100,100,100,100,112,0,0,0,2.5
azerbaijan,6560,96,89.3,86.6,91.6,87,77.8,100,126,0.2,0.3,0,2.5
bahamas,21310,95,92,92,92,98.4,98.4,100,91,0,0,0,
bangladesh,1190,94,60.6,62.1,57.7,86.9,87,100,112,1.2,1.8,0,14.7
barbados,14800,97,96.2,96.2,96.2,99.7,99.7,100,84,0.8,0.8,0.8,3.9
belarus,6460,99,94.3,95.2,94.1,99.7,99.1,100,126,0,0,0,2.5
belgium,44360,98,99.5,99.4,99.5,100,100,77,105,0,0,0,2.5
belize,4420,94,90.5,88.2,93.5,99.5,100,80,98,1,1.9,0,7.5
benin,860,79,19.7,7.3,35.6,77.9,72.1,100,98,53.3,75.6,24.9,10.1
bolivia,3080,99,50.3,27.5,60.8,90,75.6,100,90,17.1,45.6,4,17.1
bosnia and herzegovina,4680,82,94.8,92,98.9,99.9,100,60,365,0,0,0,2.5
