"gni per capita, atlas method (current us$)",maternal leave benefits (% of wages paid in covered period),number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, rural (% of rural population)","people practicing open defecation, urban (% of urban population)",active,country
630.0,100.0,90.0,12.7,17.4,0.0,0.0125744965063707,afghanistan
4290.0,65.0,365.0,0.0,0.0,0.0,1.12371388301621,albania
4870.0,100.0,98.0,0.8,2.3,0.2,0.0707667335482562,algeria
4180.0,100.0,90.0,30.3,53.8,0.5,0.0034192239099686,angola
13390.0,78.0,91.0,,,,0.0959183673469388,antigua and barbuda
12460.0,100.0,90.0,1.3,0.0,1.4,0.342728695153933,argentina
3880.0,100.0,140.0,0.0,0.0,0.0,0.177469553450609,armenia
60070.0,,,0.0,0.0,0.0,0.0072066475110662,australia
47120.0,100.0,112.0,0.0,0.0,0.0,0.153432802333408,austria
6560.0,100.0,126.0,0.2,0.3,0.0,0.0287396121883657,azerbaijan
1190.0,100.0,112.0,1.2,1.8,0.0,0.027524453945315,bangladesh
14800.0,100.0,84.0,0.8,0.8,0.8,0.107665505226481,barbados
6460.0,100.0,126.0,0.0,0.0,0.0,0.10928,belarus
44360.0,77.0,105.0,0.0,0.0,0.0,6.10089448545376,belgium
4420.0,80.0,98.0,1.0,1.9,0.0,0.0601431980906921,belize
860.0,100.0,98.0,53.3,75.6,24.9,0.0047096404291915,benin
3080.0,100.0,90.0,17.1,45.6,4.0,0.4213960285395,bolivia
4680.0,60.0,365.0,0.0,0.0,0.0,0.656232855836635,bosnia and herzegovina
6510.0,50.0,84.0,14.3,33.6,0.0,0.162537764350453,botswana
9850.0,100.0,120.0,2.1,13.3,0.2,0.372093649085038,brazil
7220.0,90.0,410.0,0.0,0.0,0.0,0.303883354987729,bulgaria
660.0,100.0,98.0,55.1,74.7,9.1,0.0050375544180261,burkina faso
3290.0,100.0,60.0,23.9,40.1,15.4,0.10089928057554,cabo verde
1070.0,50.0,90.0,47.5,59.9,0.0,0.0001290572368845,cambodia
1330.0,100.0,98.0,5.8,11.7,0.8,0.0053349875930521,cameroon
47500.0,34.0,105.0,,,0.0,,canada
320.0,50.0,98.0,22.3,34.2,4.4,0.0008488612836438,central african republic
880.0,50.0,98.0,64.4,79.0,13.9,0.0029566866149197,chad
14060.0,100.0,126.0,0.1,1.1,0.0,,chile
7820.0,100.0,128.0,0.7,1.6,0.0,0.0001264987859967,china
7130.0,100.0,98.0,4.4,14.1,1.5,0.148011892241728,colombia
10210.0,100.0,120.0,0.1,0.0,0.2,0.735374682058306,costa rica
1410.0,100.0,98.0,26.4,50.9,5.6,0.0062349570200573,cote d'ivoire
12690.0,100.0,208.0,0.4,0.6,0.3,0.0722388059701493,croatia
,,,0.6,1.6,0.4,0.0508731495434802,cuba
25930.0,72.0,126.0,0.0,0.0,0.0,2.43380281690141,cyprus
58590.0,50.0,126.0,0.0,0.0,0.0,0.117841825355979,denmark
,100.0,98.0,20.0,75.6,3.7,0.0026315789473684,djibouti
6760.0,60.0,84.0,,,,0.0152777777777778,dominica
6130.0,100.0,84.0,2.8,5.9,2.0,0.511314285714286,dominican republic
6010.0,100.0,84.0,3.9,10.8,0.0,0.184438353035235,ecuador
3940.0,100.0,84.0,2.8,6.5,0.9,0.0637710229902793,el salvador
18480.0,100.0,140.0,0.0,0.0,0.0,0.706836964688204,estonia
590.0,100.0,90.0,28.6,34.1,5.8,0.0119887570051168,ethiopia
4800.0,100.0,84.0,0.0,0.0,0.0,0.0001116071428571,fiji
46360.0,58.0,147.0,0.0,0.0,0.0,0.281678422861277,finland
40580.0,73.0,112.0,0.0,0.0,0.0,4.70961964890668,france
,,,1.4,1.4,1.4,,french polynesia
9210.0,100.0,98.0,1.8,3.9,1.5,0.0264007171671896,gabon
4160.0,100.0,183.0,1.1,2.3,0.0,0.149017496635262,georgia
45790.0,100.0,98.0,0.0,0.0,0.0,0.21784393757503,germany
1480.0,100.0,84.0,19.1,33.7,6.8,0.0196150999259808,ghana
20290.0,100.0,119.0,0.0,0.0,0.0,0.593439252336449,greece
8430.0,88.0,90.0,1.0,0.6,1.7,0.0008849557522123,grenada
3590.0,100.0,84.0,5.3,8.9,1.9,0.0452009299236134,guatemala
470.0,100.0,98.0,15.0,23.7,0.4,0.002078025477707,guinea
590.0,100.0,60.0,17.3,32.7,1.6,0.0155163466528282,guinea-bissau
4090.0,70.0,91.0,0.3,0.4,0.0,0.101270648030496,guyana
820.0,100.0,42.0,19.0,35.0,7.7,0.0206699991230378,haiti
2270.0,100.0,84.0,4.8,10.5,0.0,0.896289537712895,honduras
12990.0,70.0,168.0,0.0,0.0,0.0,0.861574690283608,hungary
49730.0,49.0,90.0,0.0,0.0,0.0,0.0089673913043478,iceland
1590.0,100.0,84.0,44.4,61.3,9.8,0.0106253839011499,india
3440.0,100.0,90.0,20.4,28.9,13.1,0.0649273751651401,indonesia
5550.0,100.0,72.0,0.0,0.0,0.0,0.0381069855254877,iraq
46680.0,35.0,182.0,,,,3.50809514291425,ireland
35440.0,100.0,98.0,0.0,0.0,0.0,0.774392361111111,israel
32790.0,80.0,150.0,0.0,0.0,0.0,0.708229401618681,italy
5010.0,100.0,56.0,0.8,1.1,0.5,0.151619793520826,jamaica
36680.0,67.0,98.0,0.0,0.0,0.0,0.0309914501417038,japan
