country,"gni per capita, atlas method (current us$)","immunization, hib3 (% of children ages 12-23 months)",improved sanitation facilities (% of population with access),"improved sanitation facilities, rural (% of rural population with access)","improved sanitation facilities, urban (% of urban population with access)",maternal leave benefits (% of wages paid in covered period),number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, rural (% of rural population)","people practicing open defecation, urban (% of urban population)",confirmed,deaths,recovered,active,mortality_rate_covid
afghanistan,630,78,31.9,27,45.1,100,90,12.7,17.4,0,0.142134196,0.006185779,0.123373921,0.012574497,4.352069402
albania,4290,98,93.2,90.2,95.5,65,365,0,0,0,2.967300916,0.050951374,1.792635659,1.123713883,1.717094951
algeria,4870,95,87.6,82.2,89.8,100,98,0.8,2.3,0.2,0.244897085,0.006558153,0.167572198,0.070766734,2.677922102
angola,4180,64,51.6,22.5,88.6,100,90,30.3,53.8,0.5,0.061687473,0.00146055,0.056807699,0.003419224,2.367660253
antigua and barbuda,13390,99,90,80,80,78,91,3,3,3,0.293877551,0.007142857,0.190816327,0.095918367,2.430555556
argentina,12460,94,96.4,98.3,96.2,100,90,1.3,0,1.4,4.356147387,0.108226635,3.905192058,0.342728695,2.484457596
armenia,3880,94,89.5,78.2,96.2,100,140,0,0,0,5.681224628,0.105345061,5.398410014,0.177469553,1.854266779
australia,60070,93,100,100,100,100,104,0,0,0,0.112025316,0.003529549,0.10128912,0.007206648,3.150670687
austria,47120,98,100,100,100,100,112,0,0,0,4.739982051,0.089679156,4.496870092,0.153432802,1.891972489
azerbaijan,6560,96,89.3,86.6,91.6,100,126,0.2,0.3,0,2.285536209,0.031222794,2.225573803,0.028739612,1.366103661
bangladesh,1190,94,60.6,62.1,57.7,100,112,1.2,1.8,0,0.316691106,0.004823066,0.284343586,0.027524454,1.522955911
barbados,14800,97,96.2,96.2,96.2,100,84,0.8,0.8,0.8,0.583972125,0.006271777,0.470034843,0.107665505,1.07398568
belarus,6460,20,94.3,95.2,94.1,100,126,0,0,0,2.740896,0.018912,2.612704,0.10928,0.689993345
belgium,44360,98,99.5,99.4,99.5,77,105,0,0,0,6.286322188,0.185427703,0,6.100894485,2.949700913
belize,4420,94,90.5,88.2,93.5,80,98,1,1.9,0,2.872792363,0.073031026,2.739618138,0.060143198,2.542161668
