covid_fatality_rate,continent,country,age_dependency_ratio,diabetes_prevalence,gni_per_capita_atlas_method,Good_maternal_and_infant_practices,Bad_hygiene_practices,rural_populations,fat_animal_products,good_fat_sources,fat_cereals__excluding_beer,obesity,undernourished,unhealthy_kcals,healthy_kcals,protein_alcoholic_beverages,protein_animal_fats,protein_milk__excluding_butter,protein_oilcrops,protein_stimulants,protein_sugar__sweeteners,protein_vegetable_oils,gni_real,comparative_fatality_rate,population_ages_0014,population_ages_65_and_above,fat_cereals_excluding_beer,fat_eggs,fat_fish_seafood,fat_fruits_excluding_wine,fat_meat,fat_miscellaneous,fat_milk_excluding_butter,fat_offals,fat_oilcrops,fat_pulses,fat_spices,fat_starchy_roots,fat_stimulants,fat_treenuts,fat_vegetable_oils,fat_vegetables,improved_water_source_of_population_with_access
22.61536279,asia,afghanistan,86.95446405,8.8,630,55.05653266,6.35,73.297,21.6397,19.2716,8.0353,4.5,29.8,8.2041,41.6459,0,0.0277,5.5278,0.2034,0.5546,0,0,low_gni,low_fatality_rate,44.04194947,2.469089724,8.0353,0.6859,0.0327,0.4246,6.1244,0.0163,8.2803,0.3103,1.0452,0.196,0.2776,0.049,0.098,0.7513,17.0831,0.3593,55.3
111.346973,europe,albania,44.80697279,10.3,4290,494.3883401,0,42.593,32.0002,14.1194,2.6734,22.3,6.2,24.316,25.8312,0.184,0.0711,16.475,0.3722,0.2635,0.0042,0.0084,low_gni,high_fatality_rate,18.54620412,12.39633387,2.6734,1.6448,0.1445,0.6418,8.7428,0.017,17.7576,0.2933,3.1622,0.1148,0,0.051,0.527,0.9181,9.2443,0.6503,95.1
15.82190764,africa,algeria,52.61757885,7.5,4870,90.57983533,0.5,29.273,14.4175,30.1337,4.2035,26.6,3.9,11.3634,36.1207,0.0323,0.0054,8.0616,0.183,0.4628,0,0.0269,mid_gni,low_fatality_rate,28.53871044,5.938038072,4.2035,1.2171,0.2008,0.5772,3.8961,0.0439,8.0934,0.1067,1.1983,0.2698,0.1568,0.1129,0.2886,0.8595,27.3606,0.5145,83.6
7.07,africa,angola,99.85575099,4.1,4180,57.77122147,15.4,55.95,15.3041,28.0234,6.5545,6.8,25,12.3156,26.1292,0.6285,0.0277,1.146,2.1534,0.1017,0.0092,0.0092,low_gni,low_fatality_rate,47.65044117,2.313470552,6.5545,0.1539,1.4155,0.3488,11.0268,0.0308,1.2309,0.1539,3.9902,0.3282,0.0103,0.7078,0.1128,0.0308,22.4638,0.1231,49
129.604217,north america,antigua and barbuda,45.65038071,13.6,13390,811.4323208,6.109423019,76.227,27.7033,17.7767,3.2153,19.1,11.22675159,30.5287,25.1183,0.1535,0.1289,7.4349,0.7674,0.4113,0,0.043,high_gni,high_fatality_rate,24.1782657,7.164172602,3.2153,0.3872,1.5263,1.2177,14.3202,0.0898,6.6607,0.1347,1.3579,0.0673,0.3591,0.0449,1.0549,0.202,14.4436,0.2469,97.9
269.8704682,south america,argentina,56.5453597,6,12460,225.3065947,1.35,8.249,30.3572,17.8695,1.3316,28.5,4.6,32.9218,24.8649,0.1704,0.0097,5.8322,0.0097,0.9688,0.0049,0,mid_gni,high_fatality_rate,25.19419749,10.92655359,1.3316,1.5706,0.1664,0.2091,19.2693,0,5.8512,0.1878,0.064,0.0213,0.0213,0.111,0.2475,0.1366,17.3147,0.1878,99.1
264.1736521,europe,armenia,41.26264721,6.4,3880,603.1606662,0,37.327,29.6642,15.5206,2.5068,20.9,4.3,22.5795,28.7687,0.0411,0.1438,10.038,0.2619,0.5545,0.0051,0.0205,low_gni,high_fatality_rate,18.38389482,10.82598339,2.5068,1.6196,0.2218,0.5468,10.8165,0.0361,10.4709,0.2734,0.6602,0.0774,0.0103,0.0567,1.8002,0.9542,12.8127,0.8717,100
9.47,oceania,australia,50.92736435,5.1,60070,2197.97163,0,10.577,24.1099,23.9345,0.9908,30.4,2.5,30.882,23.4219,0.2914,0.074,8.432,0.6984,0.7031,0,0.0463,high_gni,low_fatality_rate,18.6980894,15.04487489,0.9908,0.7017,0.4515,0.4028,11.6002,0.052,6.5196,0.2339,1.2929,0.026,0.1007,0.0422,0.7926,1.6145,20.3612,0.2144,100
195.2714918,europe,austria,49.17973629,6.9,47120,4575.726373,0,34.032,27.8268,20.5386,1.2297,21.9,2.5,29.6913,22.5698,0.615,0.3376,11.4954,1.5028,0.726,0.0139,0.0647,high_gni,high_fatality_rate,14.20763979,18.75913005,1.2297,1.2147,0.4259,0.2249,8.1099,0,5.1497,0.075,1.1367,0.012,0.102,0.045,0.4439,0.8398,17.9323,0.2039,100
86.59929301,europe,azerbaijan,38.01600762,6.5,6560,431.9906246,0.1,45.38,32.1198,10.4634,5.4481,19.9,2.5,16.7714,33.1239,0.3465,0.0596,6.8497,0.0541,0.2328,0,0.0217,mid_gni,high_fatality_rate,21.91854638,5.626089813,5.4481,2.0197,0.2122,0.594,11.9993,0.017,9.9202,0.1612,0.1867,0.0255,0.017,0.1697,1.3663,2.2573,7.1538,0.6534,87
